# Value of 1 to indicate we must rescale to breaks
1
# Particle ID to identify what particle we use by Z. Taken from command line.
7
# Total LET value for curve
569.397481632
# Average energy deposit at a given range. Distances um; energies in keV
# Input file name: Radial Energy_NitrogenRun36MeV.csv
# Written at: 2019-04-11 10:19:35.860000
# r,Energy
0.0,2.278910164730622
0.005,3.5873698467924773
0.01,4.001586144136428
0.015,4.2783137156488555
0.02,4.476159848530733
0.025,4.635422653720067
0.03,4.773615526277856
0.035,4.891692518977904
0.04,4.991833715507051
0.045,5.075694484587946
0.05,5.189118219397311
0.055,5.250181407690236
0.06,5.307645726947613
0.065,5.3629439811162545
0.07,5.411749369771838
0.075,5.457334433354415
0.08,5.498461253221532
0.085,5.536012481718098
0.09,5.568822530109741
0.095,5.59895519346404
0.1,5.6278639925752545
0.105,5.654216385546569
0.11,5.680113844302116
0.115,5.70279766358302
0.12,5.722189844622523
0.125,5.741919290965329
0.13,5.759759406121577
0.135,5.775008875135648
0.14,5.790204606870343
0.145,5.8036952398518675
0.15,5.815866910335951
0.155,5.825403567849844
0.16,5.834215052999362
0.165,5.84231203668352
0.17,5.848604230436338
0.175,5.853863803261207
0.18,5.860430645517599
0.185,5.866462738052816
0.19,5.8716703295021535
0.195,5.876652384954518
0.2,5.880039111664023
0.205,5.882608860674892
0.21,5.8840917702668065
0.215,5.883467340487482
0.22,5.883893162693079
0.225,5.8852017294998715
0.23,5.884646357690238
0.235,5.883717562318809
0.24,5.883357424166519
0.245,5.883397010368809
0.25,5.882859659539811
0.255,5.881354982217326
0.26,5.880098858185902
0.265,5.879274664256594
0.27,5.877120450033747
0.275,5.87524482745062
0.28,5.873163078315223
0.285,5.871135605861148
0.29,5.868914293953184
0.295,5.8677674451765425
0.3,5.865957287665592
0.305,5.863887888898875
0.31,5.860861819924264
0.315,5.858705108504531
0.32,5.856687549949627
0.325,5.854082737969882
0.33,5.85143628206576
0.335,5.848865122869545
0.34,5.845572895197697
0.345,5.843062097793728
0.35,5.840871122763154
0.355,5.8380939970979
0.36,5.835333611710681
0.365,5.832031547836118
0.37,5.828497202324845
0.375,5.825199537894208
0.38,5.821874114884539
0.385,5.81917855917325
0.39,5.816703760689183
0.395,5.814311766553813
0.4,5.8116596140384935
0.405,5.8092919759662465
0.41,5.806846975971009
0.415,5.804019335334869
0.42,5.801051597798189
0.425,5.798034882324971
0.43,5.795241743551959
0.435,5.79288956466584
0.44,5.790762572546596
0.445,5.788386125074217
0.45,5.786091107748863
0.455,5.784114785225116
0.46,5.782194228312979
0.465,5.780446239693268
0.47,5.778659706563283
0.475,5.776728820256862
0.48,5.774039512231456
0.485,5.771960991566554
0.49,5.770044619650492
0.495,5.768313501575255
0.5,5.766576683266566
0.505,5.764934127840308
0.51,5.763322120046599
0.515,5.7617170067932015
0.52,5.760248561594352
0.525,5.758609564649
0.53,5.757191575710878
0.535,5.755692447129058
0.54,5.7542572035498285
0.545,5.752898883714183
0.55,5.7514459663604995
0.555,5.750160566494613
0.56,5.748891604298508
0.565,5.747647506063729
0.57,5.7464818408830185
0.575,5.745183023610273
0.58,5.743987691744527
0.585,5.742867310263763
0.59,5.741743799866065
0.595,5.740699454494072
0.6,5.739664544484028
0.605,5.738638468732566
0.61,5.737691176888369
0.615,5.736810237035704
0.62,5.735984105976526
0.625,5.735176587037323
0.63,5.734467340571943
0.635,5.733766270753836
0.64,5.733067366130799
0.645,5.732225261826839
0.65,5.731437829758326
0.655,5.730710106507397
0.66,5.729988611647893
0.665,5.72930024309837
0.67,5.728643119178619
0.675,5.7280115362567265
0.68,5.727399723060218
0.685,5.726806078390975
0.69,5.726210891452601
0.695,5.725627628115182
0.7,5.72506976728795
0.705,5.724521893102929
0.71,5.723979029807044
0.715,5.723461593856452
0.72,5.722963893842379
0.725,5.722501675667892
0.73,5.722041410268968
0.735,5.7215894208994476
0.74,5.721129210851291
0.745,5.720676962003104
0.75,5.720244882876689
0.755,5.719830691898441
0.76,5.719436046405707
0.765,5.719049328428197
0.77,5.718670522520388
0.775,5.718325728516912
0.78,5.717987288289213
0.785,5.717653212440834
0.79,5.7173221446470395
0.795,5.717022180820606
0.8,5.71672014973227
0.805,5.71641104945669
0.81,5.716083069220524
0.815,5.7157249912392665
0.82,5.715399877346348
0.825,5.715088985433529
0.83,5.714801116103207
0.835,5.714526613464516
0.84,5.714252087319601
0.845,5.713981718875531
0.85,5.7137086907163965
0.855,5.713440580775212
0.86,5.71318010430189
0.865,5.712924368804388
0.87,5.712660898546001
0.875,5.7124034240112485
0.88,5.712155255036063
0.885,5.711912521506663
0.89,5.7116640681205295
0.895,5.711424933190605
0.9,5.711190817533655
0.905,5.710963463785117
0.91,5.710742173900008
0.915,5.71052668606866
0.92,5.710312778534081
0.925,5.710104137055663
0.93,5.70990083516046
0.935,5.7097015831043
0.94,5.709503895802224
0.945,5.709310707917581
0.95,5.709122461802964
0.955,5.708932715813769
0.96,5.7087459578730195
0.965,5.708564218638475
0.97,5.708386364196595
0.975,5.708211936824727
0.98,5.708040957299991
0.985,5.707873202498738
0.99,5.707708870574661
0.995,5.707548945973539
1.0,5.707405952485368
1.005,5.707260552575539
1.01,5.707116195202837
1.015,5.706971099806977
1.02,5.706832304449311
1.025,5.706697879096442
1.03,5.70656293132625
1.035,5.706430926366983
1.04,5.706296572365292
1.045,5.706158588151454
1.05,5.706017841922917
1.055,5.705883073810716
1.06,5.705752342725069
1.065,5.705625965119541
1.07,5.705515242956942
1.075,5.705408828581636
1.08,5.705297543139535
1.085,5.705186020573792
1.09,5.705075428106839
1.095,5.704943897407764
1.1,5.704809593734166
1.105,5.704686873751636
1.11,5.704568865421792
1.115,5.7044548480896
1.12,5.7043529335988525
1.125,5.704261270062096
1.13,5.704164101971136
1.135,5.704066631054583
1.14,5.703969709101465
1.145,5.70387254860331
1.15,5.703775799401142
1.155,5.703680875964249
1.16,5.703587334734969
1.165,5.703495141802352
1.17,5.70340447090023
1.175,5.70331699278753
1.18,5.703230442915019
1.185,5.703145040862232
1.19,5.703060304295394
1.195,5.702976435034108
1.2,5.702892932558252
1.205,5.702809988858727
1.21,5.702728434908043
1.215,5.702647844626928
1.22,5.702567399920629
1.225,5.702488969783441
1.23,5.70241452480224
1.235,5.702340629300344
1.24,5.702266526397015
1.245,5.702191639174419
1.25,5.702117600836453
1.255,5.702044004193091
1.26,5.701958764245937
1.265,5.7018845524757005
1.27,5.70181201300298
1.275,5.701736108575031
1.28,5.701668724627321
1.285,5.701596717066248
1.29,5.70152524619258
1.295,5.701461838694749
1.3,5.701391392396247
1.305,5.70132302198164
1.31,5.701262180564673
1.315,5.701191762179884
1.32,5.701113140286607
1.325,5.70104230129362
1.33,5.700973482138419
1.335,5.700906254514523
1.34,5.700840901407877
1.345,5.700777748759993
1.35,5.700714242279536
1.355,5.700652354246696
1.36,5.7005926508674545
1.365,5.700533105174648
1.37,5.7004751355819
1.375,5.70042098623845
1.38,5.700397972303594
1.385,5.700365950056492
1.39,5.700333605125924
1.395,5.700289197955857
